Ecosystem	Package	Version	Scope	License	License files	Source
go	cel.dev/expr	v0.25.1	module	Apache-2.0	LICENSE	https://cel.dev/expr
go	cloud.google.com/go/compute/metadata	v0.9.0	module	Apache-2.0	LICENSE	https://cloud.google.com/go/compute/metadata
go	github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.32.0	module	Apache-2.0	LICENSE	https://github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp
go	github.com/antlr4-go/antlr/v4	v4.13.1	module	BSD-2-Clause	LICENSE	https://github.com/antlr4-go/antlr/v4
go	github.com/aws/aws-sdk-go-v2	v1.45.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2
go	github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream	v1.7.20	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream
go	github.com/aws/aws-sdk-go-v2/config	v1.33.2	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/config
go	github.com/aws/aws-sdk-go-v2/credentials	v1.20.2	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/credentials
go	github.com/aws/aws-sdk-go-v2/feature/ec2/imds	v1.19.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/feature/ec2/imds
go	github.com/aws/aws-sdk-go-v2/internal/configsources	v1.5.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/internal/configsources
go	github.com/aws/aws-sdk-go-v2/internal/endpoints/v2	v2.8.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/internal/endpoints/v2
go	github.com/aws/aws-sdk-go-v2/internal/v4a	v1.5.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/internal/v4a
go	github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding	v1.13.19	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding
go	github.com/aws/aws-sdk-go-v2/service/internal/checksum	v1.11.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/internal/checksum
go	github.com/aws/aws-sdk-go-v2/service/internal/presigned-url	v1.14.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/internal/presigned-url
go	github.com/aws/aws-sdk-go-v2/service/internal/s3shared	v1.20.1	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/internal/s3shared
go	github.com/aws/aws-sdk-go-v2/service/s3	v1.110.0	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/s3
go	github.com/aws/aws-sdk-go-v2/service/signin	v1.8.0	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/signin
go	github.com/aws/aws-sdk-go-v2/service/sso	v1.36.0	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/sso
go	github.com/aws/aws-sdk-go-v2/service/ssooidc	v1.41.0	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/ssooidc
go	github.com/aws/aws-sdk-go-v2/service/sts	v1.48.0	module	Apache-2.0	LICENSE.txt	https://github.com/aws/aws-sdk-go-v2/service/sts
go	github.com/aws/smithy-go	v1.28.1	module	Apache-2.0	LICENSE	https://github.com/aws/smithy-go
go	github.com/cespare/xxhash/v2	v2.3.0	module	MIT	LICENSE.txt	https://github.com/cespare/xxhash/v2
go	github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2	module	Apache-2.0	LICENSE	https://github.com/cncf/xds/go
